test,arch,platform,status,extra_args,handler,handler_time,ram_size,rom_size
tests/kernel/condvar/condvar_api/kernel.condvar,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/semaphore/semaphore/kernel.semaphore,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/semaphore/sys_sem/kernel.semaphore.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/poll/kernel.poll,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mutex/sys_mutex/system.mutex,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mutex/sys_mutex/system.mutex.nouser,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mutex/mutex_error_case/kernel.mutex_error_case,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mutex/mutex_api/kernel.mutex,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/smp_boot_delay/kernel.multiprocessing.smp_boot_delay,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/mem_protect/kernel.memory_protection,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/mem_protect/kernel.memory_protection.gap_filling.arc,riscv32,hifive1,skipped,CONFIG_MPU_GAP_FILLING=y,renode,,0,0
tests/kernel/mem_protect/mem_protect/kernel.memory_protection.gap_filling.arm,riscv32,hifive1,skipped,CONFIG_MPU_GAP_FILLING=y,renode,,0,0
tests/kernel/mem_protect/protection/kernel.memory_protection.protection,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/syscalls/kernel.memory_protection.syscalls,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/userspace/kernel.memory_protection.userspace,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/userspace/kernel.memory_protection.userspace.gap_filling.arc,riscv32,hifive1,skipped,CONFIG_MPU_GAP_FILLING=y,renode,,0,0
tests/kernel/mem_protect/userspace/kernel.memory_protection.userspace.gap_filling.arm,riscv32,hifive1,skipped,CONFIG_MPU_GAP_FILLING=y,renode,,0,0
tests/kernel/mem_protect/obj_validation/kernel.memory_protection.obj_validation,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/demand_paging/kernel.demand_paging,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/demand_paging/kernel.demand_paging.timing_funcs,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/mem_map/kernel.memory_protection.mem_map,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/mem_map/kernel.memory_protection.mem_map.x86_64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/mem_map/kernel.memory_protection.mem_map.x86_64.coverage,riscv32,hifive1,skipped,EXTRA_CFLAGS=-DSKIP_EXECUTE_TESTS,renode,,0,0
tests/kernel/mem_protect/mem_map/kernel.memory_protection.mem_map.x86_64.coverage.exec,riscv32,hifive1,skipped,CONF_FILE=prj_x86_64_coverage_exec.conf,renode,,0,0
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/sys_sem/kernel.memory_protection.sys_sem.nouser,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/stackprot/kernel.memory_protection.stackprot,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/stack_random/kernel.memory_protection.stack_random,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_protect/futex/kernel.futex,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/early_sleep/kernel.common.sleep,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/early_sleep/kernel.common.sleep.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/lifo/lifo_usage/kernel.lifo.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/lifo/lifo_usage/kernel.lifo.usage.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/lifo/lifo_api/kernel.lifo,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/lifo/lifo_api/kernel.lifo.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/context/kernel.common,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/context/kernel.common.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/queue/kernel.queue,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/obj_tracking/kernel.objects.tracking,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fatal/exception/kernel.common.stack_protection,riscv32,hifive1,skipped,CONF_FILE=prj.conf,renode,,0,0
tests/kernel/fatal/exception/kernel.common.stack_protection_no_userspace,riscv32,hifive1,skipped,CONF_FILE=protection_no_userspace.conf,renode,,0,0
tests/kernel/fatal/exception/kernel.common.stack_protection_arm_fpu_sharing,riscv32,hifive1,skipped,CONF_FILE=prj_arm_fpu_sharing.conf,renode,,0,0
tests/kernel/fatal/exception/kernel.common.stack_protection_armv8m_mpu_stack_guard,riscv32,hifive1,skipped,CONF_FILE=prj_armv8m_mpu_stack_guard.conf,renode,,0,0
tests/kernel/fatal/exception/kernel.common.stack_sentinel,riscv32,hifive1,skipped,CONF_FILE=sentinel.conf,renode,,0,0
tests/kernel/fatal/no-multithreading/kernel.no-mt.cpu_exception,riscv32,hifive1,skipped,EXTRA_CPPFLAGS=-DVIA_TWISTER=0,renode,,0,0
tests/kernel/fatal/no-multithreading/kernel.no-mt.oops,riscv32,hifive1,skipped,EXTRA_CPPFLAGS=-DVIA_TWISTER=1,renode,,0,0
tests/kernel/fatal/no-multithreading/kernel.no-mt.panic,riscv32,hifive1,skipped,EXTRA_CPPFLAGS=-DVIA_TWISTER=2,renode,,0,0
tests/kernel/fatal/no-multithreading/kernel.no-mt.zephyr_assert,riscv32,hifive1,skipped,EXTRA_CPPFLAGS=-DVIA_TWISTER=3,renode,,0,0
tests/kernel/fatal/no-multithreading/kernel.no-mt.arbitrary_reason,riscv32,hifive1,skipped,EXTRA_CPPFLAGS=-DVIA_TWISTER=4,renode,,0,0
tests/kernel/fatal/no-multithreading/kernel.no-mt.arbitrary_reason_negative,riscv32,hifive1,skipped,EXTRA_CPPFLAGS=-DVIA_TWISTER=5,renode,,0,0
tests/kernel/fatal/message_capture/kernel.logging.message_capture,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/dynamic_thread/kernel.threads.dynamic,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/tls/kernel.threads.tls,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/tls/kernel.threads.tls.userspace,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_stack/kernel.threads.thread_stack,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_stack/kernel.threads.armv8m_mpu_stack_guard,riscv32,hifive1,skipped,CONF_FILE=prj_armv8m_mpu_stack_guard.conf,renode,,0,0
tests/kernel/threads/no-multithreading/kernel.threads.no-multithreading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_error_case/kernel.threads.error.case,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_apis/kernel.threads.apis,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_apis/kernel.threads.apis.pinonly,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/threads/thread_init/kernel.threads.init,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sleep/kernel.common.timing,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/stack/stack/kernel.stack.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.tls,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.misra,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.nano32,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/common/kernel.common.nano64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/device/kernel.device,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/device/kernel.device.pm,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/profiling/profiling_api/kernel.common.profiling,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/spinlock/kernel.multiprocessing.spinlock,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arm_baseline,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arm_baseline.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arm_mainline,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.disabled,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/gen_isr_table/arch.interrupt.gen_isr_table.arc,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work/kernel.work.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work/kernel.work.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/user_work/kernel.work.user,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work_queue/kernel.workqueue,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/work_queue/kernel.workqueue.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue.sam,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue.nsim,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/workq/critical/kernel.workqueue.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_api/kernel.mailbox.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_api/kernel.mailbox.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_usage/kernel.mailbox.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mbox/mbox_usage/kernel.mailbox.usage.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt.x86_64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt.x86,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/interrupt/arch.interrupt.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/smp/kernel.multiprocessing.smp,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/smp/kernel.multiprocessing.smp.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/starve/kernel.timer.starve,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/starve/kernel.timer.starve.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_monotonic/kernel.timer.monotonic,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_monotonic/kernel.timer.monotonic.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_api/kernel.timer,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_api/kernel.timer.tickless,riscv32,hifive1,skipped,"CONF_FILE=""prj_tickless.conf""",renode,,0,0
tests/kernel/timer/timer_api/kernel.timer.no_multitheading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/cycle64/kernel.timer.cycle64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/cycle64/kernel.timer.cycle64.fast,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/timer/timer_error_case/kernel.timer.error_case,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/tickless/tickless_concept/kernel.tickless.concept,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs.concept,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_concept/kernel.memory_slabs.concept.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab/kernel.memory_slabs.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab/kernel.memory_slabs.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs.threadsafe,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_threadsafe/kernel.memory_slabs.threadsafe.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs.api_no_multithreading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_slab/mslab_api/kernel.memory_slabs.api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mp/kernel.multiprocessing,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mp/kernel.multiprocessing.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.arm,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.riscv32,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.riscv64,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.sparc,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.x86.fpu,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/fpu_sharing/float_disable/kernel.fpu_sharing.float_disable.x86.sse,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.arc,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=500,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.arm,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=70000,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.arm64,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=70000,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.riscv32,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=500,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.riscv64,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=500,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.sparc,riscv32,hifive1,skipped,PI_NUM_ITERATIONS=70000,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.x86.fpu,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/fpu_sharing/generic/kernel.fpu_sharing.generic.x86.sse,riscv32,hifive1,skipped,CONF_FILE=prj_x86.conf,renode,,0,0
tests/kernel/pipe/pipe_api/kernel.pipe.api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/pipe/pipe/kernel.pipe,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/pending/kernel.objects,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/k_heap_api/kernel.k_heap_api,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/k_heap_api/kernel.k_heap_api.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/shared_multi_heap/kernel.shared_multi_heap,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap_no_multithreading,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/mem_heap/mheap_api_concept/kernel.memory_heap.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/events/sys_event/kernel.events.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/events/event_api/kernel.events,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/events/event_api/kernel.events.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/metairq/kernel.scheduler.metairq,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/metairq/kernel.scheduler.metairq.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/deadline/kernel.scheduler.deadline,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/deadline/kernel.scheduler.deadline.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/preempt/kernel.scheduler.preempt,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/preempt/kernel.scheduler.preempt.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.no_timeslicing,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.multiq,riscv32,hifive1,skipped,CONF_FILE=prj_multiq.conf,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.multiq_no_timeslicing,riscv32,hifive1,skipped,CONF_FILE=prj_multiq.conf,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.dumb_no_timeslicing,riscv32,hifive1,skipped,CONF_FILE=prj_dumb.conf,renode,,0,0
tests/kernel/sched/schedule_api/kernel.scheduler.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/msgq/msgq_usage/kernel.message_queue_usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/msgq/msgq_usage/kernel.message_queue_usage.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/msgq/msgq_api/kernel.message_queue,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_timeout/kernel.fifo.timeout.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_api/kernel.fifo,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_api/kernel.fifo.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_usage/kernel.fifo.usage,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/fifo/fifo_usage/kernel.fifo.usage.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/xip/arch.common.xip,riscv32,hifive1,skipped,,renode,,0,0
tests/kernel/xip/arch.common.xip.linker_generator,riscv32,hifive1,skipped,,renode,,0,0
